_id,id,bbox,centroid,title,title_en,title_ne,type,code,district,district_en,municipal_en,cases_count
5e8c4ea33e4d8a5ecdb0b123,34012,"[84.7228026967661, 27.0384134385459, 84.7956003112797, 27.1176637202231]","{'type': 'Point', 'coordinates': [84.76368675151903, 27.0771690475682]}",Pokhariya,Pokhariya,पोखरिया,Municipality,pokhariyamun,34,Parsa,Pokhariya Municipality,
5e8c4ea33e4d8a5ecdb0b124,34013,"[84.7729814107184, 27.084870318962, 84.8938705488783, 27.2409141943069]","{'type': 'Point', 'coordinates': [84.82559021222231, 27.166728457631205]}",SakhuwaPrasauni,SakhuwaPrasauni,सखुवा प्रसौनी,Rural Municipality,sakhuwaprasaunimun,34,Parsa,SakhuwaPrasauni Rural Municipality,49.0
5e8c4ea33e4d8a5ecdb0b125,19004,"[85.3861360538653, 26.8978037003188, 85.4977321801557, 26.9543169846008]","{'type': 'Point', 'coordinates': [85.43937465129652, 26.926056095427768]}",Basbariya,Basbariya,बसबरीया,Rural Municipality,basbariyamun,19,Sarlahi,Basbariya Rural Municipality,
5e8c4ea33e4d8a5ecdb0b126,21005,"[85.9794479877778, 27.3155169521808, 86.1622979646249, 27.5029656061389]","{'type': 'Point', 'coordinates': [86.06437291002327, 27.408812631443332]}",Manthali,Manthali,मन्थली,Municipality,manthalimun,21,Ramechhap,Manthali Municipality,
5e8c4ea33e4d8a5ecdb0b127,21006,"[86.0208680151008, 27.2421758144519, 86.2406417761329, 27.4028941844206]","{'type': 'Point', 'coordinates': [86.14646934984684, 27.3161591924008]}",Ramechhap,Ramechhap,रामेछाप,Municipality,ramechhapmun,21,Ramechhap,Ramechhap Municipality,1.0
5e8c4ea33e4d8a5ecdb0b128,21007,"[85.7975166437744, 27.443883661844, 85.9174770436757, 27.5702601255626]","{'type': 'Point', 'coordinates': [85.85587234263254, 27.49575838971833]}",Sunapati,Sunapati,सुनापती,Rural Municipality,sunapatimun,21,Ramechhap,Sunapati Rural Municipality,
5e8c4ea33e4d8a5ecdb0b129,21008,"[86.2128349337767, 27.4551082148105, 86.5727626547517, 27.8325265867772]","{'type': 'Point', 'coordinates': [86.42243288691164, 27.660969895587712]}",Umakunda,Umakunda,उमाकुण्ड,Rural Municipality,umakundamun,21,Ramechhap,Umakunda Rural Municipality,
5e8c4ea33e4d8a5ecdb0b12a,53001,"[82.4632919027918, 28.4037009043008, 82.6594012351865, 28.5584528116746]","{'type': 'Point', 'coordinates': [82.54995622661524, 28.480856362945083]}",Duikholi,Duikholi,परिवर्तन,Rural Municipality,duikholimun,54,Rolpa,Duikholi Rural Municipality,
5e8c4ea33e4d8a5ecdb0b12b,53002,"[82.7320956059896, 28.1864321430003, 82.9041179896524, 28.3484004920743]","{'type': 'Point', 'coordinates': [82.81682129426652, 28.2734003782563]}",Lungri,Lungri,लुङग्री,Rural Municipality,lungrimun,54,Rolpa,Lungri Rural Municipality,
5e8c4ea33e4d8a5ecdb0b12c,53007,"[82.7022787642664, 28.2843342038514, 82.9567349124855, 28.4787727160269]","{'type': 'Point', 'coordinates': [82.82395167391907, 28.37595186247912]}",Sunchhahari,Sunchhahari,सुनछहरी,Rural Municipality,sunchhaharimun,54,Rolpa,Sunchhahari Rural Municipality,
